"clase","nombre_calse"
"251742                                                                                                                                                                                                                                                          ","Sistema de dirección                                                                                                                                                                                                                                            "
"251744                                                                                                                                                                                                                                                          ","Sistemas del interior de vehículos                                                                                                                                                                                                                              "
"251746                                                                                                                                                                                                                                                          ","Sistemas de asientos del vehículo                                                                                                                                                                                                                               "
"251747                                                                                                                                                                                                                                                          ","Componentes de ciclo no motorizado o accesorios                                                                                                                                                                                                                 "
"251748                                                                                                                                                                                                                                                          ","Componentes y sistemas de vehículos especializados                                                                                                                                                                                                              "
"251749                                                                                                                                                                                                                                                          ","Aisladores y amortiguadores de vibración de vehículos                                                                                                                                                                                                           "
"251750                                                                                                                                                                                                                                                          ","Sistemas de cargado eléctrico de vehículos                                                                                                                                                                                                                      "
"251816                                                                                                                                                                                                                                                          ","Chasis automotriz                                                                                                                                                                                                                                               "
"251817                                                                                                                                                                                                                                                          ","Remolques para productos y materiales                                                                                                                                                                                                                           "
"251915                                                                                                                                                                                                                                                          ","Sistemas y equipo de apoyo para transporte aéreo                                                                                                                                                                                                                "
"251916                                                                                                                                                                                                                                                          ","Sistemas y equipo de apoyo para transporte espacial                                                                                                                                                                                                             "
"251917                                                                                                                                                                                                                                                          ","Equipo para el mantenimiento de vehículo                                                                                                                                                                                                                        "
"251918                                                                                                                                                                                                                                                          ","Equipo de medición y prueba de vehículos                                                                                                                                                                                                                        "
"252015                                                                                                                                                                                                                                                          ","Fuselaje y componentes de avión                                                                                                                                                                                                                                 "
"252016                                                                                                                                                                                                                                                          ","Sistemas de situación y navegación aeroespacial y componentes                                                                                                                                                                                                   "
"252017                                                                                                                                                                                                                                                          ","Sistemas relacionados con las comunicaciones de vuelo                                                                                                                                                                                                           "
"252018                                                                                                                                                                                                                                                          ","Sistemas de control principal del avión                                                                                                                                                                                                                         "
"252019                                                                                                                                                                                                                                                          ","Sistemas de urgencia del avión                                                                                                                                                                                                                                  "
"252020                                                                                                                                                                                                                                                          ","Sistemas de energía de avión                                                                                                                                                                                                                                    "
"252021                                                                                                                                                                                                                                                          ","Instrumentación de vuelo                                                                                                                                                                                                                                        "
"252022                                                                                                                                                                                                                                                          ","Sistemas del aterrizaje y de frenos del avión                                                                                                                                                                                                                   "
"252023                                                                                                                                                                                                                                                          ","Controles de pasajeros de avión                                                                                                                                                                                                                                 "
"252024                                                                                                                                                                                                                                                          ","Sistemas y depósitos de combustible del avión                                                                                                                                                                                                                   "
"252025                                                                                                                                                                                                                                                          ","Equipo de avión                                                                                                                                                                                                                                                 "
"252026                                                                                                                                                                                                                                                          ","Sistemas y componentes del control ambiental del avión                                                                                                                                                                                                          "
"252027                                                                                                                                                                                                                                                          ","Acumuladores del avión                                                                                                                                                                                                                                          "
"261011                                                                                                                                                                                                                                                          ","Motores eléctricos de corriente alterna AC                                                                                                                                                                                                                      "
"261012                                                                                                                                                                                                                                                          ","Motores eléctricos de corriente directa DC                                                                                                                                                                                                                      "
"261013                                                                                                                                                                                                                                                          ","Motores no eléctricos                                                                                                                                                                                                                                           "
"261014                                                                                                                                                                                                                                                          ","Componentes de motores o generadores                                                                                                                                                                                                                            "
"261015                                                                                                                                                                                                                                                          ","Motores                                                                                                                                                                                                                                                         "
"261017                                                                                                                                                                                                                                                          ","Accesorios y componentes de motor                                                                                                                                                                                                                               "
"261019                                                                                                                                                                                                                                                          ","Componentes de motor de combustión interna                                                                                                                                                                                                                      "
"261115                                                                                                                                                                                                                                                          ","Transmisión de energía cinética                                                                                                                                                                                                                                 "
"261116                                                                                                                                                                                                                                                          ","Generadores de potencia                                                                                                                                                                                                                                         "
"261117                                                                                                                                                                                                                                                          ","Baterías, pilas y accesorios                                                                                                                                                                                                                                    "
"261118                                                                                                                                                                                                                                                          ","Componentes de la transmisión                                                                                                                                                                                                                                   "
"261119                                                                                                                                                                                                                                                          ","Embragues                                                                                                                                                                                                                                                       "
"261120                                                                                                                                                                                                                                                          ","Piezas y accesorios de embragues                                                                                                                                                                                                                                "
"261121                                                                                                                                                                                                                                                          ","Sistemas de frenado industriales                                                                                                                                                                                                                                "
"261215                                                                                                                                                                                                                                                          ","Alambre eléctrico                                                                                                                                                                                                                                               "
"261216                                                                                                                                                                                                                                                          ","Cables eléctricos y accesorios                                                                                                                                                                                                                                  "
"261217                                                                                                                                                                                                                                                          ","Cableado preformado                                                                                                                                                                                                                                             "
"261218                                                                                                                                                                                                                                                          ","Cable automotriz                                                                                                                                                                                                                                                "
"261315                                                                                                                                                                                                                                                          ","Centrales eléctricas                                                                                                                                                                                                                                            "
"261316                                                                                                                                                                                                                                                          ","Equipo de cribado o estructuras de tubo de escape                                                                                                                                                                                                               "
"261317                                                                                                                                                                                                                                                          ","Equipo de detección o vigilancia de producción de energía                                                                                                                                                                                                       "
"261318                                                                                                                                                                                                                                                          ","Equipo de control de producción de energía                                                                                                                                                                                                                      "
"261416                                                                                                                                                                                                                                                          ","Equipo para ensamblaje subcrítico                                                                                                                                                                                                                               "
"261417                                                                                                                                                                                                                                                          ","Equipo para dosimetría                                                                                                                                                                                                                                          "
"261418                                                                                                                                                                                                                                                          ","Aparatos para celda caliente                                                                                                                                                                                                                                    "
"261419                                                                                                                                                                                                                                                          ","Instrumentos nucleónicos industriales                                                                                                                                                                                                                           "
"261420                                                                                                                                                                                                                                                          ","Equipo de irradiación                                                                                                                                                                                                                                           "
"261421                                                                                                                                                                                                                                                          ","Equipos para reactores nucleares                                                                                                                                                                                                                                "
"261422                                                                                                                                                                                                                                                          ","Equipo para combustible nuclear                                                                                                                                                                                                                                 "
"261423                                                                                                                                                                                                                                                          ","Equipos protectores contra la radiación                                                                                                                                                                                                                         "
"261424                                                                                                                                                                                                                                                          ","Equipo para residuos radiactivos                                                                                                                                                                                                                                "
"271115                                                                                                                                                                                                                                                          ","Herramientas de corte y engarzado y punzones                                                                                                                                                                                                                    "
"271116                                                                                                                                                                                                                                                          ","Herramientas de perfilar                                                                                                                                                                                                                                        "
"271117                                                                                                                                                                                                                                                          ","Llaves inglesas y guías                                                                                                                                                                                                                                         "
"271118                                                                                                                                                                                                                                                          ","Herramientas de medida y bocetaje                                                                                                                                                                                                                               "
"271119                                                                                                                                                                                                                                                          ","Herramientas gruesas y de acabado                                                                                                                                                                                                                               "
"271120                                                                                                                                                                                                                                                          ","Herramientas manuales de jardinería, agricultura y forestación                                                                                                                                                                                                  "
"271121                                                                                                                                                                                                                                                          ","Herramientas de sujeción y fijación                                                                                                                                                                                                                             "
"271122                                                                                                                                                                                                                                                          ","Herramientas de albañilería y concreto                                                                                                                                                                                                                          "
"271123                                                                                                                                                                                                                                                          ","Herramientas de marcar                                                                                                                                                                                                                                          "
"271124                                                                                                                                                                                                                                                          ","Herramientas de inserción y ajuste                                                                                                                                                                                                                              "
"271125                                                                                                                                                                                                                                                          ","Herramientas para apalancar y curvar                                                                                                                                                                                                                            "
"271126                                                                                                                                                                                                                                                          ","Herramientas para precintar                                                                                                                                                                                                                                     "
"271127                                                                                                                                                                                                                                                          ","Herramientas mecánicas                                                                                                                                                                                                                                          "
"271128                                                                                                                                                                                                                                                          ","Conexiones de herramientas y accesorios                                                                                                                                                                                                                         "
"271129                                                                                                                                                                                                                                                          ","Herramientas dispensadoras                                                                                                                                                                                                                                      "
"271130                                                                                                                                                                                                                                                          ","Cepillos                                                                                                                                                                                                                                                        "
"271131                                                                                                                                                                                                                                                          ","Herramientas de arrastre                                                                                                                                                                                                                                        "
"271132                                                                                                                                                                                                                                                          ","Juegos de herramientas                                                                                                                                                                                                                                          "
"271133                                                                                                                                                                                                                                                          ","Herramientas manuales de precisión                                                                                                                                                                                                                              "
"271215                                                                                                                                                                                                                                                          ","Prensas hidráulicas                                                                                                                                                                                                                                             "
"271216                                                                                                                                                                                                                                                          ","Pistones y cilindros hidráulicos                                                                                                                                                                                                                                "
"271217                                                                                                                                                                                                                                                          ","Accesorios de tubería y manga hidráulica                                                                                                                                                                                                                        "
"271218                                                                                                                                                                                                                                                          ","Herramientas hidráulicas                                                                                                                                                                                                                                        "
"271315                                                                                                                                                                                                                                                          ","Herramientas neumáticas                                                                                                                                                                                                                                         "
"271316                                                                                                                                                                                                                                                          ","Accesorios de aire y conectores                                                                                                                                                                                                                                 "
"271317                                                                                                                                                                                                                                                          ","Cilindros neumáticos y componentes                                                                                                                                                                                                                              "
"271410                                                                                                                                                                                                                                                          ","Herramientas de carrocería                                                                                                                                                                                                                                      "
"271411                                                                                                                                                                                                                                                          ","Herramientas de suspensión                                                                                                                                                                                                                                      "
"301015                                                                                                                                                                                                                                                          ","Ángulos                                                                                                                                                                                                                                                         "
"301017                                                                                                                                                                                                                                                          ","Vigas                                                                                                                                                                                                                                                           "
