"familia","nombre_familia"
"3012                                                                                                                                                                                                                                                            ","Carreteras y paisaje                                                                                                                                                                                                                                            "
"3013                                                                                                                                                                                                                                                            ","Productos de construcción estructurales                                                                                                                                                                                                                         "
"3014                                                                                                                                                                                                                                                            ","Aislamiento                                                                                                                                                                                                                                                     "
"3015                                                                                                                                                                                                                                                            ","Materiales para acabado de exteriores                                                                                                                                                                                                                           "
"3016                                                                                                                                                                                                                                                            ","Materiales de acabado de interiores                                                                                                                                                                                                                             "
"3017                                                                                                                                                                                                                                                            ","Puertas y ventanas y vidrio                                                                                                                                                                                                                                     "
"3018                                                                                                                                                                                                                                                            ","Instalaciones de plomería                                                                                                                                                                                                                                       "
"3019                                                                                                                                                                                                                                                            ","Equipo de apoyo para Construcción y Mantenimiento                                                                                                                                                                                                               "
"3024                                                                                                                                                                                                                                                            ","Componentes de construcción de estructura portátil                                                                                                                                                                                                              "
"3025                                                                                                                                                                                                                                                            ","Estructuras y materiales de minería subterránea                                                                                                                                                                                                                 "
"3026                                                                                                                                                                                                                                                            ","Materiales estructurales                                                                                                                                                                                                                                        "
"3110                                                                                                                                                                                                                                                            ","Piezas de fundición y ensambles de piezas de fundición                                                                                                                                                                                                          "
"3111                                                                                                                                                                                                                                                            ","Extrusiones                                                                                                                                                                                                                                                     "
"3112                                                                                                                                                                                                                                                            ","Piezas fundidas maquinadas                                                                                                                                                                                                                                      "
"3113                                                                                                                                                                                                                                                            ","Forjaduras                                                                                                                                                                                                                                                      "
"3114                                                                                                                                                                                                                                                            ","Molduras                                                                                                                                                                                                                                                        "
"3115                                                                                                                                                                                                                                                            ","Cuerda, cadena, cable, alambre y correa                                                                                                                                                                                                                         "
"3116                                                                                                                                                                                                                                                            ","Ferretería                                                                                                                                                                                                                                                      "
"3117                                                                                                                                                                                                                                                            ","Rodamientos, cojinetes ruedas y engranajes                                                                                                                                                                                                                      "
"3118                                                                                                                                                                                                                                                            ","Empaques, glándulas, fundas y cubiertas                                                                                                                                                                                                                         "
"3119                                                                                                                                                                                                                                                            ","Materiales de afilado pulido y alisado                                                                                                                                                                                                                          "
"3120                                                                                                                                                                                                                                                            ","Adhesivos y selladores                                                                                                                                                                                                                                          "
"3121                                                                                                                                                                                                                                                            ","Pinturas y bases y acabados                                                                                                                                                                                                                                     "
"3122                                                                                                                                                                                                                                                            ","Extractos de teñir y de curtir                                                                                                                                                                                                                                  "
"3123                                                                                                                                                                                                                                                            ","Materia prima en placas o barras labradas                                                                                                                                                                                                                       "
"3124                                                                                                                                                                                                                                                            ","Óptica industrial                                                                                                                                                                                                                                               "
"3125                                                                                                                                                                                                                                                            ","Sistemas de control neumático, hidráulico o eléctrico                                                                                                                                                                                                           "
"3126                                                                                                                                                                                                                                                            ","Cubiertas, cajas y envolturas                                                                                                                                                                                                                                   "
"3127                                                                                                                                                                                                                                                            ","Piezas hechas a máquina                                                                                                                                                                                                                                         "
"3128                                                                                                                                                                                                                                                            ","Componentes de placa y estampados                                                                                                                                                                                                                               "
"3129                                                                                                                                                                                                                                                            ","Extrusiones maquinadas                                                                                                                                                                                                                                          "
"3130                                                                                                                                                                                                                                                            ","Forjas labradas                                                                                                                                                                                                                                                 "
"3131                                                                                                                                                                                                                                                            ","Ensambles de tubería fabricada                                                                                                                                                                                                                                  "
"3132                                                                                                                                                                                                                                                            ","Ensambles fabricados de material en barras                                                                                                                                                                                                                      "
"3133                                                                                                                                                                                                                                                            ","Ensambles estructurales fabricados                                                                                                                                                                                                                              "
"3134                                                                                                                                                                                                                                                            ","Ensambles de lámina fabricado                                                                                                                                                                                                                                   "
"3135                                                                                                                                                                                                                                                            ","Ensambles de tubería fabricada                                                                                                                                                                                                                                  "
"3136                                                                                                                                                                                                                                                            ","Ensambles de placa fabricados                                                                                                                                                                                                                                   "
"3137                                                                                                                                                                                                                                                            ","Refractarios                                                                                                                                                                                                                                                    "
"3138                                                                                                                                                                                                                                                            ","Imanes y materiales magnéticos                                                                                                                                                                                                                                  "
"3139                                                                                                                                                                                                                                                            ","Maquinados                                                                                                                                                                                                                                                      "
"3140                                                                                                                                                                                                                                                            ","Empaques                                                                                                                                                                                                                                                        "
"3141                                                                                                                                                                                                                                                            ","Sellos                                                                                                                                                                                                                                                          "
"3142                                                                                                                                                                                                                                                            ","Partes sinterizadas                                                                                                                                                                                                                                             "
"3210                                                                                                                                                                                                                                                            ","Circuitos impresos, circuitos integrados y micro ensamblajes                                                                                                                                                                                                    "
"3211                                                                                                                                                                                                                                                            ","Dispositivo semiconductor discreto                                                                                                                                                                                                                              "
"3212                                                                                                                                                                                                                                                            ","Componentes pasivos discretos                                                                                                                                                                                                                                   "
"3213                                                                                                                                                                                                                                                            ","Piezas de componentes y hardware electrónicos y accesorios                                                                                                                                                                                                      "
"3214                                                                                                                                                                                                                                                            ","Dispositivos de tubo electrónico y accesorios                                                                                                                                                                                                                   "
"3215                                                                                                                                                                                                                                                            ","Dispositivos y componentes y accesorios de control de automatización                                                                                                                                                                                            "
"3910                                                                                                                                                                                                                                                            ","Lámparas y bombillas y componentes para lámparas                                                                                                                                                                                                                "
"3911                                                                                                                                                                                                                                                            ","Iluminación, artefactos y accesorios                                                                                                                                                                                                                            "
"3912                                                                                                                                                                                                                                                            ","Equipos, suministros y componentes eléctricos                                                                                                                                                                                                                   "
"3913                                                                                                                                                                                                                                                            ","Dispositivos y accesorios y suministros de manejo de cable eléctrico                                                                                                                                                                                            "
"4010                                                                                                                                                                                                                                                            ","Calefacción, ventilación y circulación del aire                                                                                                                                                                                                                 "
"4014                                                                                                                                                                                                                                                            ","Distribución de fluidos y gas                                                                                                                                                                                                                                   "
"4015                                                                                                                                                                                                                                                            ","Bombas y compresores industriales                                                                                                                                                                                                                               "
"4016                                                                                                                                                                                                                                                            ","Filtrado y purificación industrial                                                                                                                                                                                                                              "
"4017                                                                                                                                                                                                                                                            ","Instalaciones de tubos y entubamientos                                                                                                                                                                                                                          "
"4018                                                                                                                                                                                                                                                            ","Instalaciones de tubos y tuberías                                                                                                                                                                                                                               "
"4110                                                                                                                                                                                                                                                            ","Equipo de laboratorio y científico                                                                                                                                                                                                                              "
"4111                                                                                                                                                                                                                                                            ","Instrumentos de medida, observación y ensayo                                                                                                                                                                                                                    "
"4112                                                                                                                                                                                                                                                            ","Suministros y accesorios de laboratorio                                                                                                                                                                                                                         "
"4212                                                                                                                                                                                                                                                            ","Equipos y suministros veterinarios                                                                                                                                                                                                                              "
"4213                                                                                                                                                                                                                                                            ","Telas y vestidos médicos                                                                                                                                                                                                                                        "
"4214                                                                                                                                                                                                                                                            ","Suministros, productos de tratamiento y cuidado del enfermo                                                                                                                                                                                                     "
"4215                                                                                                                                                                                                                                                            ","Equipos y suministros dentales                                                                                                                                                                                                                                  "
"4216                                                                                                                                                                                                                                                            ","Equipo de diálisis y suministros                                                                                                                                                                                                                                "
"4217                                                                                                                                                                                                                                                            ","Productos para los servicios médicos de urgencias y campo                                                                                                                                                                                                       "
"4218                                                                                                                                                                                                                                                            ","Productos de examen y control del paciente                                                                                                                                                                                                                      "
"4219                                                                                                                                                                                                                                                            ","Productos de centro médico                                                                                                                                                                                                                                      "
"4220                                                                                                                                                                                                                                                            ","Productos de hacer imágenes diagnósticas médicas y de medicina nuclear                                                                                                                                                                                          "
"4221                                                                                                                                                                                                                                                            ","Ayuda para personas con desafíos físicos para vivir independiente                                                                                                                                                                                               "
"4222                                                                                                                                                                                                                                                            ","Productos para administración intravenosa y arterial                                                                                                                                                                                                            "
"4223                                                                                                                                                                                                                                                            ","Nutrición clínica                                                                                                                                                                                                                                               "
"4224                                                                                                                                                                                                                                                            ","Productos medicinales de deportes y ortopédicos y prótesis                                                                                                                                                                                                      "
"4225                                                                                                                                                                                                                                                            ","Productos de rehabilitación y terapia ocupacional y física                                                                                                                                                                                                      "
"4226                                                                                                                                                                                                                                                            ","Equipo y suministros post mortem y funerarios                                                                                                                                                                                                                   "
"4227                                                                                                                                                                                                                                                            ","Productos de resucitación, anestesia y respiratorio                                                                                                                                                                                                             "
"4228                                                                                                                                                                                                                                                            ","Productos para la esterilización médica                                                                                                                                                                                                                         "
"4229                                                                                                                                                                                                                                                            ","Productos quirúrgicos                                                                                                                                                                                                                                           "
"4230                                                                                                                                                                                                                                                            ","Suministros para formación y estudios de medicina                                                                                                                                                                                                               "
"4231                                                                                                                                                                                                                                                            ","Productos para el cuidado de heridas                                                                                                                                                                                                                            "
"4232                                                                                                                                                                                                                                                            ","Implantes ortopédicos quirúrgicos                                                                                                                                                                                                                               "
"4319                                                                                                                                                                                                                                                            ","Dispositivos de comunicaciones y accesorios                                                                                                                                                                                                                     "
"4320                                                                                                                                                                                                                                                            ","Componentes para tecnología de la información, difusión o telecomunicaciones                                                                                                                                                                                    "
"4321                                                                                                                                                                                                                                                            ","Equipo informático y accesorios                                                                                                                                                                                                                                 "
